sourceUrl,targetUrl,targetStatusCode,targetMergeQuerystring
/ext/fa,https://www04.timetrade.com/app/utiedu/workflows/utiedu001/schedule?locationId=uti_exton,301,TRUE
/auto,/programs/automotive?ijmsource=txt01,301,TRUE
/disclosure/www.tsu.edu,/disclosures,301,TRUE
/disclosure/program-disclosure/avondale-diesel-degree,/disclosures,301,TRUE
/media-center,https://investor.uti.edu/,301,TRUE
/campus-locations/sacramento-ca,/locations/california/sacramento,301,TRUE
/info,/request-info?uti_vanityurl=info&utm_campaign=CMP-01310-C3Y0G7&utm_medium=direct_mail&source=other,301,TRUE
/redirecttourl,https://info.uti.edu,301,TRUE
/schools/nascar-technical-institute,/programs/automotive/specialized-training/nascar,301,TRUE
/why-uti/industry-partnerships/original-equipment-manufacturers,/why-uti/industry-relationships/original-equipment-manufacturers,301,TRUE
/home,/,301,TRUE
/grants,/financial-aid/scholarships-grants?hf=1,301,TRUE
/fafsaassistance,https://www04.timetrade.com/app/utiedu/workflows/utiedu002/schedule?locationId=uti_fafsa_assistance&appointmentTypeGroupId=FAFSA_assistance&appointmentTypeId=uti_fafsa_assistance,301,TRUE
/blog/industry-relationships/mike-rowe-foundation-scholarships,/financial-aid/scholarships-grants,301,TRUE
/disclosure,/disclosures,301,TRUE
/locations/california/sacramento/electric-vehicle-training,/programs/automotive/electric-vehicle-training,301,TRUE
/prepare,/support-services/welcome-packet,301,TRUE
/student-services/1098-t-faq,/1098-t,301,TRUE
/disclosure/program-disclosure,/disclosures,301,TRUE
/why-choose-uti/why-become-a-technician,/why-uti,301,TRUE
/forms/retired/form-15-mvc,/request-info,301,TRUE
/partners/suzuki-motorcycle/elective,/programs/motorcycle/specialized-training/suzuki-fast,301,TRUE
/partners/honda-motorcycle/elective,/programs/motorcycle/specialized-training/honda-hontech,301,TRUE
/partners/mopar,/programs/automotive/specialized-training/mopar-tec,301,TRUE
/campus-locations/orlando-fl-auto/mini,/locations/florida/orlando-uti,301,TRUE
/home/investors/governance/boardofdirectors/kimberlymcwaters/tabid/527/default.aspx,https://investor.uti.edu/index.php?s=114&amp;item=2,301,TRUE
/fbn/uti-trip,/admissions/tuition,301,TRUE
/blog/education/earn-credit,/blog/education,301,TRUE
/fbn/mmi-housing,/support-services/housing-assistance,301,TRUE
